18/11/25 05:39:35 INFO client.RMProxy: Connecting to ResourceManager at master/172.16.1.1:8032
18/11/25 05:39:36 INFO input.FileInputFormat: Total input paths to process : 32
18/11/25 05:39:36 INFO mapreduce.JobSubmitter: number of splits:32
18/11/25 05:39:36 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1543099092534_0033
18/11/25 05:39:36 INFO impl.YarnClientImpl: Submitted application application_1543099092534_0033
18/11/25 05:39:36 INFO mapreduce.Job: The url to track the job: http://master:8088/proxy/application_1543099092534_0033/
18/11/25 05:39:36 INFO mapreduce.Job: Running job: job_1543099092534_0033
18/11/25 05:39:44 INFO mapreduce.Job: Job job_1543099092534_0033 running in uber mode : false
18/11/25 05:39:44 INFO mapreduce.Job:  map 0% reduce 0%
18/11/25 05:40:20 INFO mapreduce.Job:  map 1% reduce 0%
18/11/25 05:40:26 INFO mapreduce.Job:  map 2% reduce 0%
18/11/25 05:40:31 INFO mapreduce.Job:  map 3% reduce 0%
18/11/25 05:40:34 INFO mapreduce.Job:  map 4% reduce 0%
18/11/25 05:40:38 INFO mapreduce.Job:  map 5% reduce 0%
18/11/25 05:40:42 INFO mapreduce.Job:  map 6% reduce 0%
18/11/25 05:40:46 INFO mapreduce.Job:  map 7% reduce 0%
18/11/25 05:40:51 INFO mapreduce.Job:  map 8% reduce 0%
18/11/25 05:40:56 INFO mapreduce.Job:  map 9% reduce 0%
18/11/25 05:41:00 INFO mapreduce.Job:  map 10% reduce 0%
18/11/25 05:41:09 INFO mapreduce.Job:  map 11% reduce 0%
18/11/25 05:41:20 INFO mapreduce.Job:  map 12% reduce 0%
18/11/25 05:41:26 INFO mapreduce.Job:  map 13% reduce 0%
18/11/25 05:41:36 INFO mapreduce.Job:  map 14% reduce 0%
18/11/25 05:41:51 INFO mapreduce.Job:  map 15% reduce 0%
18/11/25 05:41:56 INFO mapreduce.Job:  map 16% reduce 0%
18/11/25 05:42:01 INFO mapreduce.Job:  map 17% reduce 0%
18/11/25 05:42:07 INFO mapreduce.Job:  map 18% reduce 0%
18/11/25 05:42:11 INFO mapreduce.Job:  map 19% reduce 0%
18/11/25 05:42:15 INFO mapreduce.Job:  map 20% reduce 0%
18/11/25 05:42:20 INFO mapreduce.Job:  map 21% reduce 0%
18/11/25 05:42:25 INFO mapreduce.Job:  map 22% reduce 0%
18/11/25 05:42:31 INFO mapreduce.Job:  map 23% reduce 0%
18/11/25 05:42:40 INFO mapreduce.Job:  map 24% reduce 0%
18/11/25 05:43:03 INFO mapreduce.Job:  map 25% reduce 0%
18/11/25 05:43:06 INFO mapreduce.Job:  map 26% reduce 0%
18/11/25 05:43:11 INFO mapreduce.Job:  map 27% reduce 0%
18/11/25 05:43:14 INFO mapreduce.Job:  map 28% reduce 0%
18/11/25 05:43:17 INFO mapreduce.Job:  map 29% reduce 0%
18/11/25 05:43:21 INFO mapreduce.Job:  map 30% reduce 0%
18/11/25 05:43:25 INFO mapreduce.Job:  map 31% reduce 0%
18/11/25 05:43:31 INFO mapreduce.Job:  map 32% reduce 0%
18/11/25 05:43:39 INFO mapreduce.Job:  map 33% reduce 0%
18/11/25 05:43:54 INFO mapreduce.Job:  map 34% reduce 0%
18/11/25 05:44:03 INFO mapreduce.Job:  map 35% reduce 0%
18/11/25 05:44:12 INFO mapreduce.Job:  map 36% reduce 0%
18/11/25 05:44:17 INFO mapreduce.Job:  map 37% reduce 0%
18/11/25 05:44:23 INFO mapreduce.Job:  map 38% reduce 0%
18/11/25 05:44:28 INFO mapreduce.Job:  map 39% reduce 0%
18/11/25 05:44:33 INFO mapreduce.Job:  map 40% reduce 0%
18/11/25 05:44:36 INFO mapreduce.Job:  map 41% reduce 0%
